"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126","does not trigger search for fewer than 3 characters","SearchBar","Sat Apr 11 01:56:39 UTC 2026","passed","Sat Apr 11 01:56:39 UTC 2026","","","",""
"Test cases for TestContextMiddlewareBypassEnabled","0","TestContextMiddlewareBypassEnabled","","Sat Apr 11 01:51:04 UTC 2026","passed","Sat Apr 11 01:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestContextMiddlewareBypassEnabled","TestContextMiddlewareBypassEnabled"
"Test cases for TestManagementResource_SAMLCallbackRedirect","7","TestManagementResource_SAMLCallbackRedirect","","Sat Apr 11 01:51:57 UTC 2026","passed","Sat Apr 11 01:51:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackRedirect","TestManagementResource_SAMLCallbackRedirect"
"Test cases for TestAuth_CreateSSOSession","0","TestAuth_CreateSSOSession","","Sat Apr 11 01:51:12 UTC 2026","passed","Sat Apr 11 01:51:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestAuth_CreateSSOSession","TestAuth_CreateSSOSession"
"","888","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and admin role is selected","UpdateUserForm","Sat Apr 11 01:52:21 UTC 2026","passed","Sat Apr 11 01:52:22 UTC 2026","","","",""
"Test cases for TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","1","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","","Sat Apr 11 01:51:11 UTC 2026","passed","Sat Apr 11 01:51:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors"
"","358","filters by the selected user","FileIngestFilterDialog","Sat Apr 11 01:52:58 UTC 2026","passed","Sat Apr 11 01:52:58 UTC 2026","","User Select","",""
"","53","should redirect to nested /file-ingest route if user navigates to an invalid route","Administration","Sat Apr 11 01:57:55 UTC 2026","passed","Sat Apr 11 01:57:56 UTC 2026","","","",""
"Test cases for TestSignRequestTeeFailure","0","TestSignRequestTeeFailure","","Sat Apr 11 01:51:01 UTC 2026","passed","Sat Apr 11 01:51:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestTeeFailure","TestSignRequestTeeFailure"
"Test cases for TestManagementResource_ListRoles_DBError","0","TestManagementResource_ListRoles_DBError","","Sat Apr 11 01:51:18 UTC 2026","passed","Sat Apr 11 01:51:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_DBError","TestManagementResource_ListRoles_DBError"
"Test cases for TestParseClientVersion","0","TestParseClientVersion","","Sat Apr 11 01:51:37 UTC 2026","passed","Sat Apr 11 01:51:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestParseClientVersion","TestParseClientVersion"
"","298","disables GraphButton when isCurrentSearchOpen is true","GraphControls","Sat Apr 11 01:52:54 UTC 2026","passed","Sat Apr 11 01:52:54 UTC 2026","","Searching current results","",""
"","3","returns true when WebGL is available in the current browser context","WebGL compatibility check","Sat Apr 11 01:56:58 UTC 2026","passed","Sat Apr 11 01:56:58 UTC 2026","","","",""
"","149","links to the specified route with global params intact","AppLink","Sat Apr 11 01:55:06 UTC 2026","passed","Sat Apr 11 01:55:06 UTC 2026","","","",""
"","189","renders details for a selected zone","DynamicDetails","Sat Apr 11 01:53:47 UTC 2026","passed","Sat Apr 11 01:53:47 UTC 2026","","","",""
"Test cases for TestStringPointer","0","TestStringPointer","","Sat Apr 11 01:51:15 UTC 2026","passed","Sat Apr 11 01:51:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringPointer","TestStringPointer"
"","9","optionally allows the consumer to pass a query to performSearch() and adds that query to the url","useCypherSearch","Sat Apr 11 01:56:24 UTC 2026","passed","Sat Apr 11 01:56:24 UTC 2026","","","",""
"","405","displays a “Disable query timeout” checkbox when timeout limit param config is enabled false","ExploreSearch interaction","Sat Apr 11 01:57:24 UTC 2026","passed","Sat Apr 11 01:57:25 UTC 2026","","","",""
"","1503","handles posting a mutation","DatabaseManagement","Sat Apr 11 01:57:30 UTC 2026","passed","Sat Apr 11 01:57:31 UTC 2026","","","",""
"","0","passes ruleType through optionalParams with empty object","handleError","Sat Apr 11 01:52:50 UTC 2026","passed","Sat Apr 11 01:52:50 UTC 2026","","","",""
"Test cases for TestResources_ListCAPKIHierarchy","0","TestResources_ListCAPKIHierarchy","","Sat Apr 11 01:51:11 UTC 2026","passed","Sat Apr 11 01:51:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListCAPKIHierarchy","TestResources_ListCAPKIHierarchy"
"","335","fires click handlers","ConfirmDeleteQueryDialog","Sat Apr 11 01:56:43 UTC 2026","passed","Sat Apr 11 01:56:44 UTC 2026","","","",""
"","51","displays security warning","Enable2FADialog","Sat Apr 11 01:55:30 UTC 2026","passed","Sat Apr 11 01:55:30 UTC 2026","","","",""
"Test cases for TestSIDSuffix_String","0","TestSIDSuffix_String","","Sat Apr 11 01:51:37 UTC 2026","passed","Sat Apr 11 01:51:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestSIDSuffix_String","TestSIDSuffix_String"
"Test cases for TestBHCEStaticHandler","18","TestBHCEStaticHandler","","Sat Apr 11 01:51:05 UTC 2026","passed","Sat Apr 11 01:51:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/static/TestBHCEStaticHandler","TestBHCEStaticHandler"
"Test cases for TestIsErrorResponse","0","TestIsErrorResponse","","Sat Apr 11 01:51:01 UTC 2026","passed","Sat Apr 11 01:51:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestIsErrorResponse","TestIsErrorResponse"
"","44","uses the discardQueryParams prop to discard all query params on the link","AppLink","Sat Apr 11 01:55:06 UTC 2026","passed","Sat Apr 11 01:55:06 UTC 2026","","","",""
"Test cases for TestGetOrderForNeo4jQuery","0","TestGetOrderForNeo4jQuery","","Sat Apr 11 01:51:37 UTC 2026","passed","Sat Apr 11 01:51:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetOrderForNeo4jQuery","TestGetOrderForNeo4jQuery"
"","330","renders the form for editing an existing zone","Tag Form","Sat Apr 11 01:52:10 UTC 2026","passed","Sat Apr 11 01:52:10 UTC 2026","","","",""
"","0","An unknown error occurred when fetching the data","Getting the text for the disabled item display for a search when there are no results","Sat Apr 11 01:55:14 UTC 2026","passed","Sat Apr 11 01:55:14 UTC 2026","","Error states","",""
"","286","has date range input filters","FileIngestFilterDialog","Sat Apr 11 01:52:56 UTC 2026","passed","Sat Apr 11 01:52:57 UTC 2026","","Date Range Inputs","",""
"","640","dispatches an action to add the associated node","Rule Object Select","Sat Apr 11 01:55:26 UTC 2026","passed","Sat Apr 11 01:55:27 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetFilterCriteria_Success_Empty","0","TestDomainSelectors_GetFilterCriteria_Success_Empty","","Sat Apr 11 01:51:16 UTC 2026","passed","Sat Apr 11 01:51:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_Success_Empty","TestDomainSelectors_GetFilterCriteria_Success_Empty"
"","123","should display api key management button","Api Keys","Sat Apr 11 01:53:41 UTC 2026","passed","Sat Apr 11 01:53:41 UTC 2026","","","",""
"Test cases for TestGenericAssign","0","TestGenericAssign","","Sat Apr 11 01:51:37 UTC 2026","passed","Sat Apr 11 01:51:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGenericAssign","TestGenericAssign"
"","59","renders a link to the documentation","BloodHoundConfiguration","Sat Apr 11 01:58:03 UTC 2026","passed","Sat Apr 11 01:58:03 UTC 2026","","","",""
"","125","should render all of the options as checkboxes","Checkbox group","Sat Apr 11 01:56:35 UTC 2026","passed","Sat Apr 11 01:56:35 UTC 2026","","","",""
"","242","displays error if delete button is clicked when no checkbox is selected","DatabaseManagement","Sat Apr 11 01:57:28 UTC 2026","passed","Sat Apr 11 01:57:28 UTC 2026","","","",""
"","0","returns false if value is 'string'","searchParams","Sat Apr 11 01:55:20 UTC 2026","passed","Sat Apr 11 01:55:20 UTC 2026","","isEmptyParam","",""
"","274","should render a single section with a single navigation item","SubNav","Sat Apr 11 01:55:40 UTC 2026","passed","Sat Apr 11 01:55:40 UTC 2026","","","",""
"","6","when password is not expired no redirect occurs","AuthenticatedRoute","Sat Apr 11 01:57:47 UTC 2026","passed","Sat Apr 11 01:57:47 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetFilterableColumns","0","TestDomainSelectors_GetFilterableColumns","","Sat Apr 11 01:51:16 UTC 2026","passed","Sat Apr 11 01:51:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterableColumns","TestDomainSelectors_GetFilterableColumns"
"","42","Calls the cypher search endpoint for a node with a type that is not in our schema","EntityObjectInformation","Sat Apr 11 01:54:37 UTC 2026","passed","Sat Apr 11 01:54:37 UTC 2026","","","",""
"Test cases for TestStringFrom","0","TestStringFrom","","Sat Apr 11 01:51:15 UTC 2026","passed","Sat Apr 11 01:51:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringFrom","TestStringFrom"
"","65","renders the title passed via title prop","ColumnHeaders","Sat Apr 11 01:54:41 UTC 2026","passed","Sat Apr 11 01:54:41 UTC 2026","","BaseColumnHeader","",""
"Test cases for TestHandleDatabaseError","0","TestHandleDatabaseError","","Sat Apr 11 01:51:01 UTC 2026","passed","Sat Apr 11 01:51:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseError","TestHandleDatabaseError"
"","177","handles creating a new label","Tag Form","Sat Apr 11 01:52:12 UTC 2026","passed","Sat Apr 11 01:52:12 UTC 2026","","","",""
"Test cases for TestDomainSelectors_GetFilterCriteria_Domain","0","TestDomainSelectors_GetFilterCriteria_Domain","","Sat Apr 11 01:51:16 UTC 2026","passed","Sat Apr 11 01:51:16 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_Domain","TestDomainSelectors_GetFilterCriteria_Domain"
"","72","should should reflect the NOT checked state for public query","SavedQueryPermissions","Sat Apr 11 01:55:12 UTC 2026","passed","Sat Apr 11 01:55:12 UTC 2026","","","",""
"Test cases for TestParseIntQueryParameter","71","TestParseIntQueryParameter","","Sat Apr 11 01:51:11 UTC 2026","passed","Sat Apr 11 01:51:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseIntQueryParameter","TestParseIntQueryParameter"
"Test cases for TestFilter","0","TestFilter","","Sat Apr 11 01:51:51 UTC 2026","passed","Sat Apr 11 01:51:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFilter","TestFilter"
"Test cases for FuzzFoldlLazy","0","FuzzFoldlLazy","","Sat Apr 11 01:51:51 UTC 2026","passed","Sat Apr 11 01:51:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/FuzzFoldlLazy","FuzzFoldlLazy"
"","79","indicates the code container is scrollable when the code is unwrapped","CodeController","Sat Apr 11 01:56:35 UTC 2026","passed","Sat Apr 11 01:56:35 UTC 2026","","","",""
"Test cases for TestResources_ListADGPOAffectedComputers","3","TestResources_ListADGPOAffectedComputers","","Sat Apr 11 01:51:11 UTC 2026","passed","Sat Apr 11 01:51:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGPOAffectedComputers","TestResources_ListADGPOAffectedComputers"
