"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for Test_ParseSortParameters","0","Test_ParseSortParameters","","Mon Jan 26 18:28:36 UTC 2026","passed","Mon Jan 26 18:28:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseSortParameters","Test_ParseSortParameters"
"Test cases for TestMatches_FailureStatus","0","TestMatches_FailureStatus","","Mon Jan 26 18:28:53 UTC 2026","passed","Mon Jan 26 18:28:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureStatus","TestMatches_FailureStatus"
"Test cases for TestWriteBinaryResponse","0","TestWriteBinaryResponse","","Mon Jan 26 18:28:36 UTC 2026","passed","Mon Jan 26 18:28:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteBinaryResponse","TestWriteBinaryResponse"
"Test cases for TestResources_CreateSavedQuery_EmptyBody","0","TestResources_CreateSavedQuery_EmptyBody","","Mon Jan 26 18:28:46 UTC 2026","passed","Mon Jan 26 18:28:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_EmptyBody","TestResources_CreateSavedQuery_EmptyBody"
"Test cases for TestManagementResource_GetRole","31270","TestManagementResource_GetRole","","Mon Jan 26 18:28:53 UTC 2026","passed","Mon Jan 26 18:29:24 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetRole","TestManagementResource_GetRole"
"Test cases for Test_SetNodeProperties","0","Test_SetNodeProperties","","Mon Jan 26 18:28:46 UTC 2026","passed","Mon Jan 26 18:28:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_SetNodeProperties","Test_SetNodeProperties"
"Test cases for TestManagementResource_ListRoles_DBError","1","TestManagementResource_ListRoles_DBError","","Mon Jan 26 18:28:53 UTC 2026","passed","Mon Jan 26 18:28:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_DBError","TestManagementResource_ListRoles_DBError"
"","74","should should reflect the checked state for public query","SavedQueryPermissions","Mon Jan 26 18:31:37 UTC 2026","passed","Mon Jan 26 18:31:37 UTC 2026","","","",""
"Test cases for TestManagementResource_CreateOIDCProvider","1","TestManagementResource_CreateOIDCProvider","","Mon Jan 26 18:29:24 UTC 2026","passed","Mon Jan 26 18:29:24 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_CreateOIDCProvider","TestManagementResource_CreateOIDCProvider"
"","5","does not render when selector data is not defined","Delete Selector Button rendering","Mon Jan 26 18:32:39 UTC 2026","passed","Mon Jan 26 18:32:39 UTC 2026","","","",""
"Test cases for TestDisenrollMFA_Success","752","TestDisenrollMFA_Success","","Mon Jan 26 18:29:16 UTC 2026","passed","Mon Jan 26 18:29:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestDisenrollMFA_Success","TestDisenrollMFA_Success"
"","44","should on clicking remove call clearSelectedItem","EntityInfoHeader","Mon Jan 26 18:31:37 UTC 2026","passed","Mon Jan 26 18:31:37 UTC 2026","","","",""
"Test cases for TestMatches_FailureAction","0","TestMatches_FailureAction","","Mon Jan 26 18:28:53 UTC 2026","passed","Mon Jan 26 18:28:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureAction","TestMatches_FailureAction"
"","92","renders details for a selected rule and is of type ""Cypher""","DynamicDetails","Mon Jan 26 18:30:37 UTC 2026","passed","Mon Jan 26 18:30:37 UTC 2026","","","",""
"","94","calls onClick when toggle button clicked","EarlyAccessFeatureToggle","Mon Jan 26 18:33:41 UTC 2026","passed","Mon Jan 26 18:33:41 UTC 2026","","","",""
"","151","renders the form for editing an existing label","Tag Form","Mon Jan 26 18:29:43 UTC 2026","passed","Mon Jan 26 18:29:43 UTC 2026","","","",""
"","1036","handles delete by source kind","DatabaseManagement","Mon Jan 26 18:33:23 UTC 2026","passed","Mon Jan 26 18:33:24 UTC 2026","","","",""
"Test cases for TestAuditLogin_UserNotFound","0","TestAuditLogin_UserNotFound","","Mon Jan 26 18:28:36 UTC 2026","passed","Mon Jan 26 18:28:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestAuditLogin_UserNotFound","TestAuditLogin_UserNotFound"
"Test cases for TestManagementResource_DeleteUser_UserBhCtxNotFound","0","TestManagementResource_DeleteUser_UserBhCtxNotFound","","Mon Jan 26 18:29:08 UTC 2026","passed","Mon Jan 26 18:29:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_UserBhCtxNotFound","TestManagementResource_DeleteUser_UserBhCtxNotFound"
"Test cases for TestBHCEStaticHandler","8","TestBHCEStaticHandler","","Mon Jan 26 18:28:41 UTC 2026","passed","Mon Jan 26 18:28:41 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/static/TestBHCEStaticHandler","TestBHCEStaticHandler"
"","1247","should render","EntityInfoHeader","Mon Jan 26 18:31:36 UTC 2026","passed","Mon Jan 26 18:31:37 UTC 2026","","","",""
"Test cases for Test_ParseGraphSortParameters_Success","0","Test_ParseGraphSortParameters_Success","","Mon Jan 26 18:28:36 UTC 2026","passed","Mon Jan 26 18:28:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseGraphSortParameters_Success","Test_ParseGraphSortParameters_Success"
"Test cases for TestResources_ListADGroupMembers","2","TestResources_ListADGroupMembers","","Mon Jan 26 18:28:46 UTC 2026","passed","Mon Jan 26 18:28:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGroupMembers","TestResources_ListADGroupMembers"
"Test cases for TestNewManifest","0","TestNewManifest","","Mon Jan 26 18:28:51 UTC 2026","passed","Mon Jan 26 18:28:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestNewManifest","TestNewManifest"
"Test cases for TestDatabaseWipe","1","TestDatabaseWipe","","Mon Jan 26 18:28:46 UTC 2026","passed","Mon Jan 26 18:28:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestDatabaseWipe","TestDatabaseWipe"
"Test cases for TestMatches_FailureModel","0","TestMatches_FailureModel","","Mon Jan 26 18:28:53 UTC 2026","passed","Mon Jan 26 18:28:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureModel","TestMatches_FailureModel"
"","114","calls handleInitialEnvironment with the highest impactValue as the initial environment","useInitialEnvironment","Mon Jan 26 18:32:01 UTC 2026","passed","Mon Jan 26 18:32:01 UTC 2026","","","",""
